site_name,sensor_X,sensor_Y,wavelength,var_name,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
MAFR,HYPERNETS,PACE,385,RHOW,32,28,15,13,1.6309,2.1112,1.5234,2.4567,3.9618,-0.057679,-0.028765,-0.010835,NA,TRUE,TRUE,0.010714,0.00899,47.7406,-0.51683,-0.212364,-0.07375,0.212364,0.51683,0.702097,-106.9665,-26.9623,-7.9622,26.9623,77.7351,106.9665
MAFR,HYPERNETS,PACE,386,RHOW,32,28,15,13,1.6418,2.1133,1.5308,2.4663,3.9735,-0.058827,-0.029478,-0.011261,NA,TRUE,TRUE,0.010679,0.009011,47.2428,-0.505939,-0.219003,-0.085759,0.219003,0.505939,0.694824,-102.4041,-28.0415,-9.3803,28.0415,74.3541,102.4041
MAFR,HYPERNETS,PACE,387,RHOW,32,28,15,13,1.6539,2.1181,1.5325,2.4604,3.9502,-0.059127,-0.029788,-0.011514,NA,TRUE,TRUE,0.010599,0.008992,46.6778,-0.502336,-0.224748,-0.078946,0.224748,0.502336,0.687591,-100.9387,-28.9903,-8.5713,28.9903,71.0824,100.9387
MAFR,HYPERNETS,PACE,388,RHOW,32,28,15,13,1.6282,2.0872,1.5126,2.432,3.9104,-0.059211,-0.029726,-0.011387,NA,TRUE,TRUE,0.010571,0.009008,46.1869,-0.503044,-0.226615,-0.076759,0.226615,0.503044,0.661073,-101.225,-29.3016,-8.3141,29.3016,69.3627,101.225
MAFR,HYPERNETS,PACE,389,RHOW,32,28,15,13,1.6162,2.0565,1.4896,2.3842,3.816,-0.05825,-0.029359,-0.011308,NA,TRUE,TRUE,0.010492,0.009028,45.8381,-0.512935,-0.229139,-0.086312,0.229139,0.512935,0.64865,-105.3112,-29.7251,-9.4466,29.7251,67.7877,105.3112
MAFR,HYPERNETS,PACE,390,RHOW,32,28,15,13,1.5348,1.9983,1.4216,2.2819,3.6629,-0.056507,-0.028147,-0.010479,NA,TRUE,TRUE,0.010497,0.009243,46.292,-0.522612,-0.23165,-0.116901,0.23165,0.522612,0.645568,-109.4734,-30.149,-13.2376,30.149,66.0042,109.4734
MAFR,HYPERNETS,PACE,391,RHOW,32,28,15,13,1.5094,1.9652,1.4017,2.2532,3.6221,-0.056779,-0.028193,-0.01041,NA,TRUE,TRUE,0.010502,0.009305,45.8265,-0.527537,-0.244043,-0.111629,0.244043,0.527537,0.619495,-111.6569,-32.2827,-12.5656,32.2827,67.8365,111.6569
MAFR,HYPERNETS,PACE,392,RHOW,32,28,15,13,1.4739,1.9185,1.3728,2.2105,3.5593,-0.056492,-0.027882,-0.010113,NA,TRUE,TRUE,0.010501,0.009379,45.4969,-0.525607,-0.25587,-0.12521,0.25587,0.525607,0.594231,-110.7955,-34.3851,-14.3132,34.3851,70.1277,110.7955
MAFR,HYPERNETS,PACE,393,RHOW,32,28,15,13,1.491,1.9303,1.3711,2.1915,3.5029,-0.056365,-0.028094,-0.010407,NA,TRUE,TRUE,0.010399,0.009373,44.8133,-0.521169,-0.274527,-0.122831,0.274527,0.521169,0.570599,-108.8421,-37.841,-14.0031,37.841,65.2328,108.8421
MAFR,HYPERNETS,PACE,394,RHOW,32,28,15,13,1.4578,1.7946,1.3453,2.1549,3.4516,-0.056041,-0.027437,-0.009579,NA,TRUE,TRUE,0.010312,0.009127,42.2274,-0.462538,-0.237885,-0.106246,0.237885,0.462538,0.578888,-86.0598,-31.2138,-11.8876,31.2138,62.726,86.0598
MAFR,HYPERNETS,PACE,395,RHOW,32,28,15,14,1.0332,0.839,1.2835,2.1777,3.6949,-0.064926,-0.030218,-0.009762,NA,TRUE,TRUE,0.012549,0.010208,43.6443,-0.456435,-0.26601,-0.089057,0.228064,0.439908,0.582691,-84.2164,-36.9758,-9.837,30.0502,58.8854,84.2164
MAFR,HYPERNETS,PACE,396,RHOW,32,28,15,14,1.0301,0.9125,1.2746,2.1613,3.6648,-0.064828,-0.030064,-0.009562,NA,TRUE,TRUE,0.01252,0.010161,42.9225,-0.44876,-0.26179,-0.079653,0.226747,0.430337,0.577522,-81.701,-36.0774,-8.7232,29.7501,57.6409,82.8873
MAFR,HYPERNETS,PACE,397,RHOW,32,28,15,14,0.9976,0.9428,1.2424,2.1088,3.5795,-0.064201,-0.029514,-0.009078,NA,TRUE,TRUE,0.012588,0.010278,42.5982,-0.438881,-0.273154,-0.095541,0.236936,0.420544,0.563629,-78.4896,-38.2689,-10.5964,31.5263,57.447,79.5149
MAFR,HYPERNETS,PACE,398,RHOW,32,28,15,14,1.0045,0.9771,1.2369,2.0956,3.5505,-0.064061,-0.029397,-0.008936,NA,TRUE,TRUE,0.012529,0.010179,41.693600000000004,-0.427532,-0.270153,-0.082742,0.239806,0.409853,0.559424,-74.9227,-37.4912,-9.0734,31.8788,56.6784,76.1155
MAFR,HYPERNETS,PACE,399,RHOW,32,28,15,14,1.0104,1.0356,1.2325,2.0847,3.5263,-0.064219,-0.029629,-0.00918,NA,TRUE,TRUE,0.012569,0.010361,42.4267,-0.442113,-0.289132,-0.091627,0.25939,0.429136,0.553328,-79.3891,-41.1681,-10.1709,35.3704,55.278,79.3891
MAFR,HYPERNETS,PACE,400,RHOW,32,28,15,14,1.0138,1.0959,1.2212,2.061,3.4785,-0.063912,-0.029617,-0.009297,NA,TRUE,TRUE,0.012613,0.010564,43.1907,-0.456804,-0.303623,-0.104665,0.27657,0.448693,0.543197,-84.1562,-44.0359,-11.7838,37.9915,57.2817,84.1562
MAFR,HYPERNETS,PACE,401,RHOW,32,28,15,14,0.9801,1.0897,1.2001,2.0314,3.4385,-0.063909,-0.029472,-0.009126,NA,TRUE,TRUE,0.012782,0.010823,43.7865,-0.462421,-0.305056,-0.137729,0.276343,0.452441,0.549145,-86.113,-44.3903,-16.0341,37.6064,58.5989,86.113
MAFR,HYPERNETS,PACE,402,RHOW,32,28,15,14,0.9935,1.1213,1.1988,2.0239,3.417,-0.06429,-0.029826,-0.009413,NA,TRUE,TRUE,0.012822,0.010957,43.936,-0.469167,-0.307642,-0.150594,0.280103,0.458617,0.552147,-88.4919,-44.8932,-17.7823,37.9692,56.9231,88.4919
MAFR,HYPERNETS,PACE,403,RHOW,32,28,15,14,0.9845,1.1383,1.2021,2.0337,3.4407,-0.065684,-0.030546,-0.009777,NA,TRUE,TRUE,0.012966,0.011184,44.5221,-0.478139,-0.312481,-0.161614,0.284165,0.469372,0.554456,-91.7012,-45.9465,-19.3108,38.5544,57.4953,91.7012
MAFR,HYPERNETS,PACE,404,RHOW,32,28,15,14,0.9522,1.1221,1.1685,1.9786,3.3504,-0.064737,-0.029827,-0.00921,NA,TRUE,TRUE,0.013026,0.011287,44.0302,-0.47195,-0.317535,-0.172213,0.285427,0.454191,0.544233,-89.5674,-47.1808,-20.8326,37.2728,58.1407,89.5674
MAFR,HYPERNETS,PACE,405,RHOW,32,28,15,14,0.9738,1.1439,1.167,1.9678,3.3181,-0.064414,-0.029731,-0.009162,NA,TRUE,TRUE,0.012875,0.011182,43.1877,-0.459641,-0.314764,-0.172872,0.283555,0.433821,0.535625,-85.3348,-46.5444,-20.9209,36.7093,57.105,85.3348
MAFR,HYPERNETS,PACE,406,RHOW,32,28,15,14,0.9625,1.151,1.1489,1.9359,3.2618,-0.063919,-0.029382,-0.008884,NA,TRUE,TRUE,0.012892,0.011257,42.9082,-0.458137,-0.314346,-0.176148,0.284125,0.432817,0.523422,-84.8225,-46.4161,-21.4158,36.92,56.3094,84.8225
MAFR,HYPERNETS,PACE,407,RHOW,32,28,15,14,0.9839,1.184,1.1461,1.922,3.2232,-0.064058,-0.029612,-0.009072,NA,TRUE,TRUE,0.012844,0.011278,42.4221,-0.455287,-0.323864,-0.184021,0.296893,0.422881,0.498832,-83.8775,-48.372,-22.5629,38.8167,55.6033,83.8775
MAFR,HYPERNETS,PACE,408,RHOW,32,28,15,14,0.9754,1.1831,1.1395,1.912,3.2082,-0.064199,-0.029574,-0.008939,NA,TRUE,TRUE,0.012846,0.011273,41.9984,-0.45581,-0.319714,-0.182083,0.294946,0.425526,0.497554,-84.0726,-47.3883,-22.2672,39.007,54.48,84.0726
MAFR,HYPERNETS,PACE,409,RHOW,32,28,15,14,0.9706,1.1795,1.123,1.8806,3.1494,-0.063185,-0.028983,-0.008559,NA,TRUE,TRUE,0.012746,0.011193,41.2915,-0.449853,-0.314782,-0.181798,0.291183,0.41731,0.483864,-82.0605,-46.2864,-22.2336,38.3587,52.7716,82.0605
